experiment,model,task,task_family,dataset,dataset_file,reported_in_paper,weights,n,perf,perf_er0,perf_erpos,pct_er0,overall,IR,IO,ER,EO,gc,cp,length,info,validity,tanimoto,semantic_entropy,claims_per_resp,perclaim_fab_rate,hedge_rate,abstain_rate,fab_position,n_conditions,base_accuracy,samples_per_response,n_matched_token,n_dlogp
diagnosis,Chem-R,cap2mol,translation,ChEBI-20,chebi-20/test.txt,True,weidawang/Chem-R-8B,3300,41.0303,43.0819,37.1378,65.4848,11.4214,0.2218,6.6099,6.6632,22.55,3.6836,88.9832,2077.3152,1.7733,92.7879,0.757,0.7371,,,,,,,,,,
diagnosis,Chem-R,mol2cap,translation,ChEBI-20,chebi-20/test.txt,True,weidawang/Chem-R-8B,3300,40.309,41.5631,39.0054,50.9697,18.7028,0.303,0.0,7.1981,48.1177,3.6788,83.6722,2513.6518,1.4635,100.0,,2.3026,,,,,,,,,,
diagnosis,Chem-R,retrosynthesis,translation,USPTO-50k,uspto50k/USPTO_50K.csv,True,weidawang/Chem-R-8B,5007,50.03,51.9417,49.7608,12.3427,12.2893,0.0068,0.3462,15.102,24.1401,4.4761,69.2755,2325.0477,1.9252,99.281,,0.4938,,,,,,,,,,
diagnosis,Chem-R,s2_MolCustom_AtomNum,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolCustom_AtomNum.csv,True,weidawang/Chem-R-8B,500,14.4,19.6809,11.2179,37.6,14.9737,0.026,9.44,19.2923,21.8125,1.174,56.1722,2227.484,0.5271,88.2,,2.2743,,,,,,,,,,
diagnosis,Chem-R,s2_MolCustom_BondNum,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolCustom_BondNum.csv,True,weidawang/Chem-R-8B,500,16.8,17.4312,16.624,21.8,24.5913,0.008,16.8,22.1665,42.2013,1.268,47.2429,2371.234,0.5347,79.0,,2.2796,,,,,,,,,,
diagnosis,Chem-R,s2_MolCustom_FunctionalGroup,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolCustom_FunctionalGroup.csv,True,weidawang/Chem-R-8B,500,44.0,42.9268,44.7458,41.0,16.6781,0.008,5.76,12.4005,34.6767,2.874,76.193,2279.532,1.2608,92.8,,2.272,,,,,,,,,,
diagnosis,Chem-R,s2_MolEdit_AddComponent,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolEdit_AddComponent.csv,True,weidawang/Chem-R-8B,500,86.6,86.166,87.0445,50.6,8.0106,0.0,1.6,6.8137,16.8783,3.526,85.5825,2106.498,1.6739,98.0,,1.4113,,,,,,,,,,
diagnosis,Chem-R,s2_MolEdit_DelComponent,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolEdit_DelComponent.csv,True,weidawang/Chem-R-8B,500,91.2,91.0299,91.4573,60.2,10.383,0.016,3.2,5.8594,23.188,3.162,86.5827,1827.654,1.7301,96.0,,0.4335,,,,,,,,,,
diagnosis,Chem-R,s2_MolEdit_SubComponent,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolEdit_SubComponent.csv,True,weidawang/Chem-R-8B,500,67.2,62.0513,85.4545,78.0,5.318,0.016,0.48,2.6927,12.921,3.73,92.7399,1719.474,2.1693,99.4,,0.1733,,,,,,,,,,
diagnosis,Chem-R,s2_MolOpt_LogP,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolOpt_LogP.csv,True,weidawang/Chem-R-8B,500,94.4,95.5882,93.5811,40.8,9.0699,0.0,1.12,10.1017,17.8982,3.17,80.416,2254.288,1.4062,98.6,,1.376,,,,,,,,,,
diagnosis,Chem-R,s2_MolOpt_MR,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolOpt_MR.csv,True,weidawang/Chem-R-8B,500,92.4,94.5455,90.7143,44.0,10.2915,0.016,3.04,9.4161,20.5005,3.084,81.458,2124.678,1.4515,96.2,,1.3338,,,,,,,,,,
diagnosis,Chem-R,s2_MolOpt_QED,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolOpt_QED.csv,True,weidawang/Chem-R-8B,500,68.6,66.1972,70.3833,42.6,9.5274,0.0,1.92,9.87,18.7988,3.148,80.9671,2224.282,1.4153,97.6,,1.2927,,,,,,,,,,
diagnosis,Chem-R,bace,classification,MoleculeNet,moleculenet/bace/bace.csv,False,weidawang/Chem-R-8B,152,0.0,0.0,0.0,71.0526,9.9551,0.0,0.0,4.8205,25.0,3.3289,90.0356,2425.1382,1.3727,100.0,,0.2915,,,,,,,,,,
diagnosis,Chem-R,bbbp,classification,MoleculeNet,moleculenet/bbbp/bbbp.csv,False,weidawang/Chem-R-8B,204,0.0,0.0,0.0,59.8039,11.5558,0.0,0.0,7.1057,27.9412,2.9461,84.4101,2393.3676,1.2309,100.0,,0.2711,,,,,,,,,,
diagnosis,Chem-R,hiv,classification,MoleculeNet,moleculenet/hiv/hiv.csv,False,weidawang/Chem-R-8B,4113,0.0,0.0,0.0,53.5376,17.7029,0.0,0.0,9.5764,43.7394,2.3659,79.056,2378.8461,0.9946,100.0,,0.3988,,,,,,,,,,
diagnosis,Chem-R,tox21,classification,MoleculeNet,moleculenet/tox21/tox21.csv,False,weidawang/Chem-R-8B,784,0.0,0.0,0.0,38.5204,18.7799,0.0,0.0,14.4055,43.3673,2.7411,73.4199,2385.6952,1.149,100.0,,0.0391,,,,,,,,,,
diagnosis,Chem-R,clintox,classification,MoleculeNet,moleculenet/clintox/clintox.csv,False,weidawang/Chem-R-8B,148,0.0,0.0,0.0,43.9189,5.5714,0.0,0.0,11.8797,7.4324,2.7905,77.1963,2469.6757,1.1299,100.0,,0.0722,,,,,,,,,,
diagnosis,+process,cap2mol,translation,ChEBI-20,chebi-20/test.txt,True,<released separately: Chem-R process-reward variant>,3300,43.1515,45.5165,30.2734,84.4848,9.6989,0.0185,4.7681,2.3741,22.3583,4.7861,96.4284,2149.7064,2.2264,94.2424,0.7628,,,,,,,,,,,
diagnosis,+process,mol2cap,translation,ChEBI-20,chebi-20/test.txt,True,<released separately: Chem-R process-reward variant>,3300,41.6731,43.1174,37.7135,73.2727,17.0645,0.0227,0.0,3.0022,46.5466,4.8218,93.5835,2497.1658,1.9309,100.0,,,,,,,,,,,,
diagnosis,+process,retrosynthesis,translation,USPTO-50k,uspto50k/USPTO_50K.csv,True,<released separately: Chem-R process-reward variant>,5007,50.709,52.5504,40.9091,84.1821,8.5892,0.0008,0.245,1.4442,23.3891,6.1322,97.3525,2290.5734,2.6772,99.5007,,,,,,,,,,,,
diagnosis,+process,s2_MolCustom_AtomNum,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolCustom_AtomNum.csv,True,<released separately: Chem-R process-reward variant>,500,7.8,9.8592,2.7586,71.0,10.5726,0.006,7.04,7.6775,18.7961,1.868,84.296,2241.676,0.8333,91.2,,,,,,,,,,,,
diagnosis,+process,s2_MolCustom_BondNum,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolCustom_BondNum.csv,True,<released separately: Chem-R process-reward variant>,500,15.4,17.9167,13.0769,48.0,17.5395,0.0,10.88,11.7297,33.9627,2.532,74.2958,2387.466,1.0605,86.4,,,,,,,,,,,,
