family,variant,perf,ER,pct_er0,decoupling_gap,overall,cp,gc
cap2mol,baseline,41.0303,6.6632,65.4848,5.9441,11.4214,88.9832,3.6836
cap2mol,process,43.1515,2.3741,84.4848,15.2431,9.6989,96.4284,4.7861
cap2mol,coupled,42.3636,1.8119,88.2424,7.1181,9.1628,97.2867,4.5961
mol2cap,baseline,40.309,7.1981,50.9697,2.5576,18.7028,83.6722,3.6788
mol2cap,process,41.6731,3.0022,73.2727,5.4039,17.0645,93.5835,4.8218
mol2cap,coupled,41.4847,1.7079,84.6667,8.2747,16.8201,96.2107,4.6779
retrosynthesis,baseline,50.03,15.102,12.3427,2.181,12.2893,69.2755,4.4761
retrosynthesis,process,50.709,1.4442,84.1821,11.6413,8.5892,97.3525,6.1322
retrosynthesis,coupled,49.9301,0.8137,90.6531,9.5869,8.6626,98.4905,6.0336
s2,baseline,63.9556,10.957,46.2889,-1.734,12.0937,76.3727,2.7929
s2,process,66.5111,3.149,83.1333,9.7541,8.2896,93.682,4.6973
s2,coupled,67.1111,2.7038,87.4889,9.4649,8.1034,95.0961,4.5769
