model,family,n,perf,perf_er0,perf_erpos,decoupling_gap,pct_er0,overall,ER,EO,IR,IO,gc,cp,length
Chem-R,cap2mol,3300,41.0303,43.0819,37.1378,5.9441,65.4848,11.4214,6.6632,22.55,0.2218,6.6099,3.6836,88.9832,2077.3152
Chem-R,mol2cap,3300,40.309,41.5631,39.0054,2.5576,50.9697,18.7028,7.1981,48.1177,0.303,0.0,3.6788,83.6722,2513.6518
Chem-R,retrosynthesis,5007,50.03,51.9417,49.7608,2.181,12.3427,12.2893,15.102,24.1401,0.0068,0.3462,4.4761,69.2755,2325.0477
Chem-R,s2,4500,63.9556,63.9574,65.6914,-1.734,46.2889,12.0937,10.957,23.2084,0.01,4.8178,2.7929,76.3727,2126.1249
+process,cap2mol,3300,43.1515,45.5165,30.2734,15.2431,84.4848,9.6989,2.3741,22.3583,0.0185,4.7681,4.7861,96.4284,2149.7064
+process,mol2cap,3300,41.6731,43.1174,37.7135,5.4039,73.2727,17.0645,3.0022,46.5466,0.0227,0.0,4.8218,93.5835,2497.1658
+process,retrosynthesis,5007,50.709,52.5504,40.9091,11.6413,84.1821,8.5892,1.4442,23.3891,0.0008,0.245,6.1322,97.3525,2290.5734
+process,s2,4500,66.5111,68.2903,58.5362,9.7541,83.1333,8.2896,3.149,19.0417,0.0013,3.2,4.6973,93.682,2226.3616
Chem-R-Faithful,cap2mol,3300,42.3636,43.2005,36.0825,7.1181,88.2424,9.1628,1.8119,21.38,0.0188,4.5662,4.5961,97.2867,2212.1152
Chem-R-Faithful,mol2cap,3300,41.4847,42.7535,34.4788,8.2747,84.6667,16.8201,1.7079,46.7234,0.0955,0.0,4.6779,96.2107,2680.0521
Chem-R-Faithful,retrosynthesis,5007,49.9301,50.8262,41.2393,9.5869,90.6531,8.6626,0.8137,24.0139,0.0,0.3728,6.0336,98.4905,2300.6265
Chem-R-Faithful,s2,4500,67.1111,68.4889,59.0239,9.4649,87.4889,8.1034,2.7038,18.8322,0.004,3.2711,4.5769,95.0961,2263.3022
ChemDFM-R,cap2mol,3300,48.4848,48.6378,47.7148,0.923,83.4242,9.2252,3.6125,20.4006,0.0,4.5439,2.2582,94.1266,989.8209
ChemDFM-R,mol2cap,3300,36.0645,35.9028,36.2612,-0.3583,54.8788,20.2485,7.3458,52.0164,0.0,0.597,3.0612,84.338,925.8345
ChemDFM-R,retrosynthesis,5007,43.9984,44.7131,43.319,1.3941,48.7318,12.0766,9.0229,27.9592,0.0,0.1811,2.7851,79.6038,1042.6275
ChemDFM-R,s2,4500,51.0444,52.9583,46.9487,6.0096,69.1556,12.1958,7.8749,27.0001,0.0013,2.7022,1.9404,86.5145,894.184
DeepSeek-R1-Distill,cap2mol,3300,0.7879,1.4646,0.3863,1.0783,37.2424,25.7518,14.4182,4.0339,42.5857,1.0954,3.4348,74.4597,11878.84
DeepSeek-R1-Distill,mol2cap,3300,1.0673,0.9875,1.0769,-0.0894,10.7273,46.0635,20.0163,91.3514,49.1911,6.3788,3.7533,55.27,11878.2445
DeepSeek-R1-Distill,retrosynthesis,5007,0.0,0.0,0.0,0.0,0.02,54.9879,33.7844,86.9693,17.8386,79.4822,5.0837,32.6459,15171.0529
DeepSeek-R1-Distill,s2,4500,18.9778,41.1204,17.2907,23.8297,9.2667,53.9081,27.6483,79.1924,28.4045,59.2178,3.1467,41.8887,11993.8282
ether-0,cap2mol,3300,30.8485,34.1808,24.8299,9.3509,64.3636,17.2841,8.2149,32.7365,3.1842,11.0067,2.7803,85.6996,2763.1936
ether-0,mol2cap,3300,0.1382,0.1399,0.1365,0.0034,48.6667,49.9123,9.8384,98.6127,5.2797,44.9,2.5173,74.5959,2132.4185
ether-0,retrosynthesis,5007,2.6763,2.1094,2.8709,-0.7616,25.5642,28.517,13.4928,58.3902,13.0723,12.0956,4.2866,71.6747,2757.0503
ether-0,s2,4500,60.9778,62.7745,59.7017,3.0729,22.3556,19.7226,20.5307,26.2734,21.2408,7.3956,3.0644,57.0453,3676.4871
