model,stratum,n,region,attn_all,attn_fg,attn_smiles,draft_copy
Chem-R,all,16100,input,0.004459,0.004292,0.005887,0.1409
Chem-R,all,16100,trace,0.000128,0.000132,0.000754,0.1409
Chem-R,er0,6541,input,0.00347,0.004099,0.004976,0.1329
Chem-R,er0,6541,trace,0.000123,0.000135,0.000674,0.1329
Chem-R,erpos,9559,input,0.005136,0.00459,0.006338,0.1464
Chem-R,erpos,9559,trace,0.000132,0.00013,0.000802,0.1464
Chem-R-Faithful,all,16098,input,0.003869,0.003949,0.005083,0.2206
Chem-R-Faithful,all,16098,trace,0.000174,0.00014,0.001247,0.2206
Chem-R-Faithful,er0,14174,input,0.003956,0.003913,0.005142,0.2237
Chem-R-Faithful,er0,14174,trace,0.000172,0.00014,0.001233,0.2237
Chem-R-Faithful,erpos,1924,input,0.003228,0.004215,0.004565,0.1975
Chem-R-Faithful,erpos,1924,trace,0.000184,0.000141,0.001364,0.1975
ChemDFM-R,all,16061,input,0.004552,0.005842,0.005525,0.0011
ChemDFM-R,all,16061,trace,0.000366,0.000967,0.000848,0.0011
ChemDFM-R,er0,10095,input,0.004322,0.005694,0.005616,0.0013
ChemDFM-R,er0,10095,trace,0.000363,0.000967,0.000866,0.0013
ChemDFM-R,erpos,5966,input,0.004941,0.006453,0.005412,0.0007
ChemDFM-R,erpos,5966,trace,0.000369,0.000966,0.000816,0.0007
