model,spec,task,id,er,exact,token_index,region,cat,text,sal,sal_norm,attn,attn_norm
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,0,other,other_word,Your,0.011456,0.0,0.582031,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,1,other,other_word, task,0.007033,0.0,0.000196,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,2,other,punct, is,0.011358,0.0,4.6e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,3,other,punct, to,0.007285,0.0,2.6e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,4,other,other_word, solve,0.003271,0.0,1.9e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,5,other,other_word, the,0.002832,0.0,3.1e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,6,other,other_word, given,0.000659,0.0,4.5e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,7,other,other_word, problem,0.0024,0.0,2.7e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,8,other,other_word, step,0.001239,0.0,2.5e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,9,other,punct, by,0.001621,0.0,2e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,10,other,other_word, step,0.000893,0.0,3.6e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,11,other,punct,.,0.003892,0.0,1.8e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,12,other,other_word, You,0.001554,0.0,8e-06,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,13,other,other_word, should,0.000381,0.0,7e-06,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,14,other,other_word, put,0.000286,0.0,7e-06,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,15,other,other_word, your,0.003871,0.0,1.2e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,16,other,other_word, reasoning,0.000976,0.0,1.9e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,17,other,punct, in,0.003199,0.0,8e-06,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,18,other,punct, <,0.00507,0.0,1.4e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,19,other,other_word,think,0.002442,0.0,5e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,20,other,punct,>,0.000259,0.0,7.5e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,21,other,punct, </,0.004033,0.0,9.4e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,22,other,other_word,think,0.000128,0.0,5.3e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,23,other,punct,>,0.000138,0.0,1.1e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,24,other,other_word, tags,0.001001,0.0,7.1e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,25,other,punct,.,0.001779,0.0,1.3e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,26,other,other_word, The,0.00466,0.0,4.4e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,27,other,other_word, final,0.001515,0.0,1e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,28,other,other_word, answer,0.001319,0.0,2.1e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,29,other,other_word, MUST,0.00165,0.0,1.2e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,30,other,punct, BE,0.001904,0.0,1.3e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,31,other,other_word, put,0.000956,0.0,7e-06,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,32,other,punct, in,0.004098,0.0,4.4e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,33,other,punct, <,0.000635,0.0,3.7e-05,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,34,other,other_word,answer,0.000226,0.0,0.000116,0.0
Chem-R,cap2mol/er0,cap2mol,52929771,0.0,True,35,other,punct,>,0.003543,0.0,3.1e-05,0.0
